tpop_2021, tpop_2020, tpop_2015, tpop_2016, tpop_2017, vifsa_name, tpop_2018, lga_name, tpop_2011, tpop_2012, tpop_2013, tpop_2014, tpop_2019, vifsa_code, tpop_2031, tpop_2030, tpop_2028, tpop_2029, tpop_2026, lga_code, tpop_2027, tpop_2024, tpop_2025, tpop_2022, tpop_2023
46734,46221,43350,43902,44499,"VIFSA Malvern District",45081,"Stonnington (C)",41268,41789,42212,42781,45672,"VIFSA.26350.10",51485,51054,50202,50626,49354,26350,49779,48301,48833,47240,47769
48191,46018,33856,36731,39233,"VIFSA Docklands-Southbank District",41383,"Melbourne (C)",24796,26470,29593,31702,43859,"VIFSA.24600.20",64192,62532,59297,60915,56390,24600,57770,53143,54886,50333,51735
70553,68238,56392,58817,60933,"VIFSA Parkville-West Melbourne District",63080,"Melbourne (C)",48395,49776,52117,54245,65699,"VIFSA.24600.30",90114,87914,83809,85914,80297,24600,81903,76594,78487,72756,74620
85609,83008,70070,72895,75248,"VIFSA Caroline Springs-Hillside District",77875,"Melton (C)",61079,63309,65594,67879,80409,"VIFSA.24650.10",113601,110873,105288,108096,99528,24650,102428,93708,96583,88137,90873
41616,40758,36474,37203,38077,"VIFSA Melton Central District",38989,"Melton (C)",32761,34083,35028,35973,39866,"VIFSA.24650.20",50154,49316,47631,48474,45918,24650,46785,44199,45056,42465,43334
42697,38908,24948,26440,28425,"VIFSA Rockbank District",31663,"Melton (C)",18803,20519,22225,23835,35382,"VIFSA.24650.30",95148,89147,77389,83221,66190,24650,71684,55886,60895,46753,51172
3426,3454,3642,3575,3543,"VIFSA Mildura Rural",3512,"Mildura (RC)",3833,3813,3761,3716,3483,"VIFSA.24780.10",3378,3381,3389,3385,3400,24780,3394,3408,3403,3419,3413
52446,51954,49672,50112,50543,"VIFSA Mildura Town",50997,"Mildura (RC)",47989,48384,48885,49320,51469,"VIFSA.24780.20",58191,57586,56407,56992,55272,24780,55835,54099,54679,52983,53534
40694,38028,28604,29756,31158,"VIFSA Kilmore-Wallan District",33302,"Mitchell (S)",24227,25330,26482,27533,35569,"VIFSA.24850.10",75109,71455,64143,67795,56984,24850,60535,50072,53488,43622,46767
10896,10906,10977,10976,10953,"VIFSA Seymour District",10934,"Mitchell (S)",10841,10814,10865,10984,10918,"VIFSA.24850.20",10929,10917,10895,10905,10880,24850,10887,10879,10878,10887,10882
19039,18983,18733,18780,18825,"VIFSA Cobram-Numurkah District",18876,"Moira (S)",18691,18800,18676,18708,18928,"VIFSA.24900.10",19716,19644,19500,19572,19361,24900,19429,19227,19292,19099,19163
10905,10796,10244,10375,10478,"VIFSA Katamatite-Yarrawonga District",10583,"Moira (S)",9715,9847,9977,10125,10689,"VIFSA.24900.20",11948,11844,11636,11740,11430,24900,11532,11217,11323,11007,11112
3272,3295,3414,3393,3366,"VIFSA Robinvale Town",3341,"Swan Hill (RC)",3609,3572,3554,3442,3318,"VIFSA.26610.10",3163,3158,3149,3153,3143,26610,3146,3192,3167,3245,3218
6117,6142,6318,6258,6226,"VIFSA Swan Hill Rural",6196,"Swan Hill (RC)",6646,6615,6516,6389,6168,"VIFSA.26610.20",6153,6142,6121,6131,6106,26610,6113,6105,6105,6111,6107
55202,54699,50813,51835,52818,"VIFSA Clayton-Oakleigh District",53533,"Monash (C)",47314,48343,49211,50091,54144,"VIFSA.24970.10",60767,60153,58954,59544,57788,24970,58371,56706,57234,55670,56184
83896,83781,82719,83097,83282,"VIFSA Glen Waverley-Mulgrave District",83477,"Monash (C)",79506,80241,81008,81972,83616,"VIFSA.24970.20",87689,87236,86339,86778,85446,24970,85898,84790,85102,84146,84461
11776,11621,10879,11028,11170,"VIFSA Swan Hill Town",11317,"Swan Hill (RC)",10610,10767,10785,10749,11468,"VIFSA.26610.30",12951,12829,12592,12709,12365,26610,12477,12120,12241,11888,12002
5683,5691,5766,5740,5724,"VIFSA Towong Shire",5712,"Towong (S)",5918,5911,5885,5796,5701,"VIFSA.26670.10",5766,5752,5726,5739,5704,26670,5715,5692,5697,5685,5688
9015,9005,8992,8989,8988,"VIFSA Wangaratta Rural",8991,"Wangaratta (RC)",9232,9177,9061,9000,8997,"VIFSA.26700.10",9113,9102,9083,9092,9068,26700,9075,9041,9054,9022,9030
18956,18839,18264,18421,18516,"VIFSA Wangaratta Town",18617,"Wangaratta (RC)",17980,18044,18115,18117,18726,"VIFSA.26700.20",20322,20170,19874,20021,19589,26700,19731,19323,19454,19074,19196
35932,35486,33626,33795,34201,"VIFSA Warrnambool City",34621,"Warrnambool (C)",32661,32971,33239,33494,35050,"VIFSA.26730.10",40670,40170,39193,39678,38239,26730,38713,37296,37763,36379,36834
14229,14132,13716,13780,13860,"VIFSA Heyfield-Maffra District",13947,"Wellington (S)",13729,13819,13701,13687,14038,"VIFSA.26810.10",15167,15075,14891,14983,14708,26810,14799,14511,14609,14321,14415
9158,9057,8645,8674,8764,"VIFSA Rosedale District",8859,"Wellington (S)",8565,8631,8659,8637,8957,"VIFSA.26810.20",10281,10166,9936,10051,9706,26810,9821,9483,9594,9265,9373
15525,15377,14746,14824,14954,"VIFSA Sale Town",15090,"Wellington (S)",14441,14557,14669,14705,15232,"VIFSA.26810.30",17157,16992,16662,16827,16332,26810,16497,16004,16167,15682,15842
5144,5151,5185,5189,5176,"VIFSA Yarram District",5166,"Wellington (S)",5329,5268,5251,5193,5158,"VIFSA.26810.40",5026,5041,5072,5057,5103,26810,5088,5118,5110,5135,5126
3828,3847,3969,3933,3910,"VIFSA West Wimmera Shire",3888,"West Wimmera (S)",4285,4201,4107,4012,3867,"VIFSA.26890.10",3631,3643,3668,3655,3696,26890,3682,3746,3720,3800,3772
56556,56185,53567,54304,54861,"VIFSA Mount Waverley District",55343,"Monash (C)",50525,51347,52129,52974,55772,"VIFSA.24970.30",61037,60503,59473,59977,58487,24970,58978,57642,58048,56876,57249
43006,42907,41843,42206,42409,"VIFSA Airport West-Niddrie District",42618,"Moonee Valley (C)",39100,39604,40236,41101,42767,"VIFSA.25060.10",48076,47392,46119,46736,44995,25060,45538,44133,44540,43355,43736
86147,84825,77486,79176,80524,"VIFSA Ascot Vale-Strathmore District",81912,"Moonee Valley (C)",73094,73908,74773,76236,83434,"VIFSA.25060.20",97612,96281,93918,95048,91796,25060,92832,89653,90811,87317,88476
23833,23216,19954,20628,21262,"VIFSA Bacchus Marsh District",21927,"Moorabool (S)",17488,18055,18915,19446,22571,"VIFSA.25150.10",31085,30405,28970,29715,27452,25150,28215,25990,26717,24539,25263
7026,6895,6240,6384,6508,"VIFSA Ballan District",6635,"Moorabool (S)",5878,6004,6074,6103,6764,"VIFSA.25150.20",8137,8024,7796,7910,7568,25150,7682,7348,7458,7132,7240
5625,5579,5388,5409,5448,"VIFSA Gordon-Mount Egerton District",5490,"Moorabool (S)",5299,5317,5337,5374,5534,"VIFSA.25150.30",6191,6135,6023,6079,5910,25150,5967,5794,5852,5680,5737
60282,59280,52488,54283,55736,"VIFSA Brunswick District",56931,"Moreland (C)",47598,48424,49963,51271,58161,"VIFSA.25250.10",68045,67331,65890,66623,64436,25250,65161,62881,63673,61162,62117
76676,75296,68744,69834,70948,"VIFSA Coburg-Pascoe Vale District",72418,"Moreland (C)",64452,65441,66425,67634,73886,"VIFSA.25250.20",89684,88385,85856,87101,83369,25250,84625,80903,82137,78122,79607
49300,48677,45327,46061,46694,"VIFSA Fawkner-Glenroy District",47377,"Moreland (C)",42196,42807,43540,44623,48004,"VIFSA.25250.30",55899,55238,53933,54578,52653,25250,53292,51263,51945,49931,50590
58151,57467,53791,54464,55179,"VIFSA Flinders-Nepean District",55971,"Mornington Peninsula (S)",51732,52111,52550,52869,56715,"VIFSA.25340.10",65051,64369,62989,63680,61574,25340,62287,60215,60892,58824,59523
43409,42787,39771,40073,40731,"VIFSA Hastings-Somerville District",41442,"Mornington Peninsula (S)",38792,39013,39095,39580,42109,"VIFSA.25340.20",49477,48945,47809,48385,46581,25340,47207,45328,45960,44027,44669
67583,66784,62279,63249,64220,"VIFSA Mornington District",65146,"Mornington Peninsula (S)",58747,59706,60500,61351,65964,"VIFSA.25340.30",75520,74779,73222,74007,71570,25340,72411,69981,70766,68373,69180
57202,56821,54318,54945,55428,"VIFSA Blackburn-Forest Hill District",55902,"Whitehorse (C)",52654,52953,53530,53936,56385,"VIFSA.26980.10",60183,59883,59298,59583,58731,26980,59017,58150,58463,57551,57843
68350,67567,60957,62896,64450,"VIFSA Box Hill District",65593,"Whitehorse (C)",56748,57456,58512,59691,66680,"VIFSA.26980.20",75273,74469,72960,73695,71570,26980,72255,70314,70936,69090,69699
52347,52157,50743,51108,51378,"VIFSA Nunawading-Vermont District",51662,"Whitehorse (C)",48140,48881,49538,50052,51912,"VIFSA.26980.30",54228,54058,53721,53884,53390,26980,53559,52960,53184,52528,52739
