 Frankston,2022,3 Southern Metro,2022,December,"6,490.70","9,157",1,"6,490.70"
 Maribyrnong,2017,1 North West Metro,2017,December,"7,335.50","6,464",1,"7,335.50"
 Hindmarsh,2016,4 Western,2016,December,"4,062.90",235,1,"4,062.90"
 Colac-Otway,2015,4 Western,2015,December,"5,619.40","1,193",1,"5,619.40"
 Wodonga,2017,2 Eastern,2017,December,"5,933.30","2,423",1,"5,933.30"
 Strathbogie,2021,2 Eastern,2021,December,"4,055.20",461,1,"4,055.20"
 Glen Eira,2021,3 Southern Metro,2021,December,"3,487.20","5,253",1,"3,487.20"
 Northern Grampians,2015,4 Western,2015,December,"6,965.00",811,1,"6,965.00"
 Queenscliffe,2014,4 Western,2014,December,"3,434.30",102,1,"3,434.30"
 Moyne,2022,4 Western,2022,December,"2,615.90",457,1,"2,615.90"
 Melbourne,2015,1 North West Metro,2015,December,"18,167.30","24,866",1,"18,167.30"
 Yarra,2014,1 North West Metro,2014,December,"11,416.10","9,958",1,"11,416.10"
 Moira,2014,2 Eastern,2014,December,"3,725.10","1,084",1,"3,725.10"
 Whitehorse,2020,2 Eastern,2020,December,"4,075.90","7,206",1,"4,075.90"
 Corangamite,2021,4 Western,2021,December,"3,705.60",594,1,"3,705.60"
 Brimbank,2021,1 North West Metro,2021,December,"6,427.80","12,639",1,"6,427.80"
 Benalla,2019,2 Eastern,2019,December,"6,750.00",961,1,"6,750.00"
 Mornington Peninsula,2021,3 Southern Metro,2021,December,"3,767.90","6,422",1,"3,767.90"
 Melton,2016,1 North West Metro,2016,December,"6,410.70","9,066",1,"6,410.70"
 Murrindindi,2022,2 Eastern,2022,December,"3,459.70",531,1,"3,459.70"
 Northern Grampians,2014,4 Western,2014,December,"5,918.30",697,1,"5,918.30"
 Ballarat,2014,4 Western,2014,December,"7,539.50","7,533",1,"7,539.50"
 Stonnington,2022,3 Southern Metro,2022,December,"7,927.20","8,436",1,"7,927.20"
 Gannawarra,2021,4 Western,2021,December,"5,190.80",551,1,"5,190.80"
 Warrnambool,2022,4 Western,2022,December,"5,644.10","2,007",1,"5,644.10"
 Queenscliffe,2019,4 Western,2019,December,"3,531.80",105,1,"3,531.80"
 Hepburn,2016,4 Western,2016,December,"4,695.70",729,1,"4,695.70"
 Greater Bendigo,2015,4 Western,2015,December,"5,775.70","6,348",1,"5,775.70"
 West Wimmera,2015,4 Western,2015,December,"2,591.80",103,1,"2,591.80"
 Horsham,2017,4 Western,2017,December,"7,884.10","1,575",1,"7,884.10"
 Wangaratta,2022,2 Eastern,2022,December,"5,661.60","1,693",1,"5,661.60"
 Wyndham,2019,1 North West Metro,2019,December,"4,837.10","13,215",1,"4,837.10"
 Whittlesea,2018,1 North West Metro,2018,December,"5,338.60","11,777",1,"5,338.60"
 Hobsons Bay,2018,1 North West Metro,2018,December,"5,058.30","4,813",1,"5,058.30"
 Yarra Ranges,2018,2 Eastern,2018,December,"3,511.00","5,541",1,"3,511.00"
 Knox,2014,2 Eastern,2014,December,"4,547.90","7,160",1,"4,547.90"
 South Gippsland,2017,2 Eastern,2017,December,"3,419.50","1,004",1,"3,419.50"
 Unincorporated Vic,2019,Unincorporated Vic,2019,December,,107,1,
 Banyule,2017,1 North West Metro,2017,December,"5,774.90","7,430",1,"5,774.90"
 Yarra,2016,1 North West Metro,2016,December,"12,154.70","11,291",1,"12,154.70"
 Mount Alexander,2023,4 Western,2023,December,"4,234.00",867,1,"4,234.00"
 Moorabool,2019,4 Western,2019,December,"4,459.00","1,596",1,"4,459.00"
 Nillumbik,2016,1 North West Metro,2016,December,"3,527.90","2,264",1,"3,527.90"
 Wodonga,2023,2 Eastern,2023,December,"6,999.20","3,100",1,"6,999.20"
 South Gippsland,2014,2 Eastern,2014,December,"3,159.10",901,1,"3,159.10"
 Maroondah,2020,2 Eastern,2020,December,"4,860.70","5,750",1,"4,860.70"
 Unincorporated Vic,2021,Unincorporated Vic,2021,December,,66,1,
 Greater Geelong,2023,4 Western,2023,December,"5,897.30","16,641",1,"5,897.30"
 Boroondara,2015,2 Eastern,2015,December,"3,374.50","5,897",1,"3,374.50"
 Manningham,2016,2 Eastern,2016,December,"3,230.80","3,960",1,"3,230.80"
 Justice Institutions and Immigration Facilities,2018,Justice Institutions and Immigration Facilities,2018,December,,"1,497",1,
 Loddon,2017,4 Western,2017,December,"3,897.50",295,1,"3,897.50"
 Port Phillip,2018,3 Southern Metro,2018,December,"8,963.90","9,926",1,"8,963.90"
 Hume,2019,1 North West Metro,2019,December,"6,745.10","15,876",1,"6,745.10"
 Swan Hill,2023,4 Western,2023,December,"7,079.90","1,497",1,"7,079.90"
 Casey,2022,3 Southern Metro,2022,December,"3,950.00","14,964",1,"3,950.00"
 Moyne,2018,4 Western,2018,December,"2,533.00",428,1,"2,533.00"
 Alpine,2014,2 Eastern,2014,December,"2,250.10",278,1,"2,250.10"
 Glen Eira,2015,3 Southern Metro,2015,December,"3,523.10","5,141",1,"3,523.10"
 Darebin,2023,1 North West Metro,2023,December,"6,823.00","10,605",1,"6,823.00"
 Boroondara,2018,2 Eastern,2018,December,"3,123.40","5,603",1,"3,123.40"
 Hepburn,2022,4 Western,2022,December,"2,897.30",480,1,"2,897.30"
 Horsham,2023,4 Western,2023,December,"8,769.10","1,786",1,"8,769.10"
 Mornington Peninsula,2023,3 Southern Metro,2023,December,"4,255.40","7,268",1,"4,255.40"
 Mansfield,2023,2 Eastern,2023,December,"3,401.70",357,1,"3,401.70"
 Golden Plains,2019,4 Western,2019,December,"2,037.00",485,1,"2,037.00"
 Yarriambiack,2023,4 Western,2023,December,"5,212.30",333,1,"5,212.30"
 Casey,2015,3 Southern Metro,2015,December,"5,059.60","15,155",1,"5,059.60"
 Hume,2014,1 North West Metro,2014,December,"6,913.00","13,223",1,"6,913.00"
 Hindmarsh,2023,4 Western,2023,December,"4,051.50",225,1,"4,051.50"
 Cardinia,2018,3 Southern Metro,2018,December,"4,206.80","4,499",1,"4,206.80"
 Ararat,2021,4 Western,2021,December,"8,497.50","1,005",1,"8,497.50"
 Whittlesea,2016,1 North West Metro,2016,December,"6,315.10","13,076",1,"6,315.10"
 Frankston,2018,3 Southern Metro,2018,December,"7,981.30","11,296",1,"7,981.30"
 Hobsons Bay,2016,1 North West Metro,2016,December,"5,710.30","5,336",1,"5,710.30"
 Buloke,2019,4 Western,2019,December,"3,908.50",241,1,"3,908.50"
 Wellington,2018,2 Eastern,2018,December,"6,384.40","2,824",1,"6,384.40"
 West Wimmera,2021,4 Western,2021,December,"4,072.40",162,1,"4,072.40"
 Buloke,2017,4 Western,2017,December,"2,539.80",158,1,"2,539.80"
 Greater Bendigo,2021,4 Western,2021,December,"6,358.40","7,711",1,"6,358.40"
 Macedon Ranges,2016,4 Western,2016,December,"3,466.70","1,646",1,"3,466.70"
 Glen Eira,2017,3 Southern Metro,2017,December,"3,549.40","5,349",1,"3,549.40"
 Latrobe,2021,2 Eastern,2021,December,"10,357.00","7,987",1,"10,357.00"
 Colac-Otway,2020,4 Western,2020,December,"6,101.30","1,359",1,"6,101.30"
 Murrindindi,2018,2 Eastern,2018,December,"3,914.60",570,1,"3,914.60"
 Moyne,2020,4 Western,2020,December,"3,112.70",532,1,"3,112.70"
 Melton,2020,1 North West Metro,2020,December,"5,811.60","10,087",1,"5,811.60"
 Stonnington,2018,3 Southern Metro,2018,December,"7,352.20","8,333",1,"7,352.20"
 Wodonga,2020,2 Eastern,2020,December,"6,047.00","2,580",1,"6,047.00"
 Northern Grampians,2022,4 Western,2022,December,"6,391.60",759,1,"6,391.60"
 Queenscliffe,2023,4 Western,2023,December,"2,166.80",71,1,"2,166.80"
 Warrnambool,2018,4 Western,2018,December,"8,347.90","2,907",1,"8,347.90"
 Ballarat,2023,4 Western,2023,December,"7,400.30","8,729",1,"7,400.30"
 Wyndham,2023,1 North West Metro,2023,December,"4,404.90","14,237",1,"4,404.90"
 Wangaratta,2018,2 Eastern,2018,December,"5,941.40","1,739",1,"5,941.40"
 Towong,2020,2 Eastern,2020,December,"2,544.60",157,1,"2,544.60"
 Manningham,2014,2 Eastern,2014,December,"2,620.60","3,130",1,"2,620.60"
Total,2021,Justice Institutions and Immigration Facilities,2021,December,,966,1,
Total,2014,4 Western,2014,December,"5,826.20","54,680",1,"5,826.20"
Total,2017,2 Eastern,2017,December,"4,962.90","83,221",1,"4,962.90"
Total,2021,2 Eastern,2021,December,"4,621.60","78,685",1,"4,621.60"
Total,2016,3 Southern Metro,2016,December,"6,580.80","98,823",1,"6,580.80"
Total,2023,2 Eastern,2023,December,"4,949.20","86,172",1,"4,949.20"
Total,2016,Unincorporated Vic,2016,December,,121,1,
Total,2021,1 North West Metro,2021,December,"5,994.90","132,721",1,"5,994.90"
Total,2015,1 North West Metro,2015,December,"7,349.30","145,347",1,"7,349.30"
Total,2020,Unincorporated Vic,2020,December,,37,1,
Total,2017,1 North West Metro,2017,December,"6,870.20","144,909",1,"6,870.20"
Total,2016,Justice Institutions and Immigration Facilities,2016,December,,"1,016",1,
Total,2019,4 Western,2019,December,"6,264.60","63,841",1,"6,264.60"
Total,2018,Justice Institutions and Immigration Facilities,2018,December,,"1,497",1,
Total,2022,1 North West Metro,2022,December,"5,836.20","131,651",1,"5,836.20"
Total,2016,4 Western,2016,December,"6,944.40","67,192",1,"6,944.40"
Total,2015,2 Eastern,2015,December,"4,785.70","78,018",1,"4,785.70"
Total,2014,3 Southern Metro,2014,December,"5,465.90","78,101",1,"5,465.90"
Total,2022,4 Western,2022,December,"5,330.50","56,499",1,"5,330.50"
Total,2023,3 Southern Metro,2023,December,"5,645.30","92,439",1,"5,645.30"
Total,2014,Unincorporated Vic,2014,December,,100,1,
Total,2021,4 Western,2021,December,"5,502.80","57,659",1,"5,502.80"
Total,2017,Unincorporated Vic,2017,December,,119,1,
Total,2018,1 North West Metro,2018,December,"6,926.30","149,919",1,"6,926.30"
Total,2017,3 Southern Metro,2017,December,"5,661.30","86,679",1,"5,661.30"
Total,2023,Justice Institutions and Immigration Facilities,2023,December,,983,1,
Total,2022,Justice Institutions and Immigration Facilities,2022,December,,"1,011",1,
Total,2019,Justice Institutions and Immigration Facilities,2019,December,,"1,356",1,
Total,2015,Justice Institutions and Immigration Facilities,2015,December,,775,1,
Total,2021,3 Southern Metro,2021,December,"4,941.10","78,200",1,"4,941.10"
Total,2021,Unincorporated Vic,2021,December,,66,1,
Total,2018,2 Eastern,2018,December,"4,878.60","82,711",1,"4,878.60"
Total,2015,4 Western,2015,December,"6,113.30","58,147",1,"6,113.30"
Total,2016,2 Eastern,2016,December,"5,452.10","90,233",1,"5,452.10"
Total,2020,Justice Institutions and Immigration Facilities,2020,December,,"1,327",1,
Total,2019,3 Southern Metro,2019,December,"5,900.10","93,735",1,"5,900.10"
Total,2023,1 North West Metro,2023,December,"6,088.40","142,960",1,"6,088.40"
Total,2020,2 Eastern,2020,December,"5,203.30","89,710",1,"5,203.30"
Total,2015,Unincorporated Vic,2015,December,,92,1,
Total,2022,2 Eastern,2022,December,"4,483.90","76,818",1,"4,483.90"
Total,2018,Unincorporated Vic,2018,December,,95,1,
Total,2015,3 Southern Metro,2015,December,"5,936.30","86,809",1,"5,936.30"
Total,2019,1 North West Metro,2019,December,"6,894.60","152,772",1,"6,894.60"
Total,2017,4 Western,2017,December,"6,334.40","62,365",1,"6,334.40"
Total,2014,2 Eastern,2014,December,"4,619.80","74,390",1,"4,619.80"
Total,2022,Unincorporated Vic,2022,December,,89,1,
Total,2018,4 Western,2018,December,"6,172.40","61,814",1,"6,172.40"
Total,2020,3 Southern Metro,2020,December,"5,934.00","95,215",1,"5,934.00"
Total,2020,4 Western,2020,December,"5,936.40","61,463",1,"5,936.40"
Total,2020,1 North West Metro,2020,December,"6,863.20","154,430",1,"6,863.20"
Total,2023,4 Western,2023,December,"5,881.10","63,105",1,"5,881.10"
Total,2014,Justice Institutions and Immigration Facilities,2014,December,,719,1,
Total,2014,1 North West Metro,2014,December,"7,138.90","136,814",1,"7,138.90"
Total,2019,Unincorporated Vic,2019,December,,107,1,
Total,2018,3 Southern Metro,2018,December,"5,729.70","89,429",1,"5,729.70"
Total,2016,1 North West Metro,2016,December,"7,919.70","162,195",1,"7,919.70"
Total,2022,3 Southern Metro,2022,December,"5,174.20","82,586",1,"5,174.20"
Total,2017,Justice Institutions and Immigration Facilities,2017,December,,"1,476",1,
Total,2019,2 Eastern,2019,December,"5,276.00","90,367",1,"5,276.00"
Total,2023,Unincorporated Vic,2023,December,,96,1,
 Justice Institutions and Immigration Facilities,2015,Justice Institutions and Immigration Facilities,2015,December,,775,1,
 Southern Grampians,2022,4 Western,2022,December,"4,727.60",775,1,"4,727.60"
 Stonnington,2020,3 Southern Metro,2020,December,"8,031.30","9,044",1,"8,031.30"
 Baw Baw,2022,2 Eastern,2022,December,"4,822.10","2,857",1,"4,822.10"
 Gannawarra,2023,4 Western,2023,December,"6,656.60",697,1,"6,656.60"
 Colac-Otway,2019,4 Western,2019,December,"5,835.60","1,286",1,"5,835.60"
 Mitchell,2018,2 Eastern,2018,December,"6,726.40","2,997",1,"6,726.40"
 Wyndham,2017,1 North West Metro,2017,December,"4,493.10","10,854",1,"4,493.10"
 Wangaratta,2020,2 Eastern,2020,December,"5,576.40","1,646",1,"5,576.40"
 Yarra Ranges,2016,2 Eastern,2016,December,"4,157.20","6,453",1,"4,157.20"
 South Gippsland,2019,2 Eastern,2019,December,"4,384.60","1,312",1,"4,384.60"
 Banyule,2019,1 North West Metro,2019,December,"5,393.30","7,044",1,"5,393.30"
 Moorabool,2017,4 Western,2017,December,"5,156.00","1,737",1,"5,156.00"
 Maribyrnong,2020,1 North West Metro,2020,December,"8,190.70","7,324",1,"8,190.70"
 Glenelg,2016,4 Western,2016,December,"6,948.70","1,373",1,"6,948.70"
 Mount Alexander,2021,4 Western,2021,December,"3,614.40",727,1,"3,614.40"
 Yarra,2018,1 North West Metro,2018,December,"11,844.50","11,312",1,"11,844.50"
 Campaspe,2016,4 Western,2016,December,"7,487.70","2,815",1,"7,487.70"
 Greater Dandenong,2014,3 Southern Metro,2014,December,"7,926.50","12,059",1,"7,926.50"
 Mildura,2021,4 Western,2021,December,"8,289.20","4,722",1,"8,289.20"
 Pyrenees,2015,4 Western,2015,December,"4,945.00",355,1,"4,945.00"
 Justice Institutions and Immigration Facilities,2016,Justice Institutions and Immigration Facilities,2016,December,,"1,016",1,
 Casey,2021,3 Southern Metro,2021,December,"3,875.40","14,322",1,"3,875.40"
 Southern Grampians,2017,4 Western,2017,December,"6,071.50",984,1,"6,071.50"
 Nillumbik,2019,1 North West Metro,2019,December,"2,567.30","1,655",1,"2,567.30"
 Towong,2017,2 Eastern,2017,December,"2,869.40",174,1,"2,869.40"
 Merri-bek,2022,1 North West Metro,2022,December,"5,281.10","9,228",1,"5,281.10"
 Ballarat,2018,4 Western,2018,December,"7,485.50","8,055",1,"7,485.50"
 Greater Geelong,2017,4 Western,2017,December,"6,946.50","17,115",1,"6,946.50"
 Monash,2019,2 Eastern,2019,December,"4,540.90","9,071",1,"4,540.90"
 Hobsons Bay,2017,1 North West Metro,2017,December,"5,191.30","4,908",1,"5,191.30"
 Whittlesea,2017,1 North West Metro,2017,December,"5,289.50","11,342",1,"5,289.50"
 Manningham,2022,2 Eastern,2022,December,"2,252.30","2,849",1,"2,252.30"
 Ararat,2018,4 Western,2018,December,"7,632.40",901,1,"7,632.40"
 Indigo,2017,2 Eastern,2017,December,"2,300.20",377,1,"2,300.20"
 Port Phillip,2016,3 Southern Metro,2016,December,"9,628.40","10,459",1,"9,628.40"
 Cardinia,2017,3 Southern Metro,2017,December,"4,244.20","4,340",1,"4,244.20"
